T10500	Actinostemon concolor (Spreng.) Müll.Arg.
T10501	Actinostemon concolor var. ellipticus Müll.Arg.
T10502	Actinostemon concolor (Spreng.) Müll.Arg. var. concolor
T10503	Anchonium elichrysifolium Boiss. subsp. elichrysifolium
T10504	Pterodon emarginatum
T10505	Androsace septentrionalis L.
T10506	Centaurea paphlagonica var. galatica (Bornm.) Wagenitz
T10507	Centaurea paphlagonica (Bornm.) Wagenitz
T10508	Centaurea olympica K.Koch
T10509	Androsace lactiflora Duby
T10510	Centaurea oviceps Bornm.
T10511	Centaurea orphanidea var. thessala Heldr. & Sart. ex Boiss.
T10512	Croton argyrophylloides
T10513	Croton adipatus
T10514	Centaurea pangaea Greuter & Papan.
T10515	Anthemis gharbensis Oberpr.
T10516	Satureja brivesii
T10517	Oncidium aloisii
T10518	Macleania mollis
T10519	Croton aequatoris
T10520	Croton menthodorus
T10521	Guzmania fuerstenbergiana Wittm.
T10522	Polygonum microspermum
T10523	Pernettya howellii Sleumer
T10524	Polygonum heterophyllum
T10525	Campanula lyrata
T10526	Campanula hagielia
T10527	Erythrocephalum zambesianum
T10528	Erythrocephalum
T10529	Peucedanum paucifolium
T10530	Oenanthe aquatica
T10531	Cleidion
T10532	Gentiana hypericifolia
T10533	Cleidion amazonicum
T10534	Cleidion gabonicum
T10535	Cleidion microcarpum Merr.
T10536	Oenanthe aquatica (L.) Poir.
T10537	Colanthelia cingulata
T10538	Colanthelia
T10539	Copaifera oblongifolia
T10540	Copaifera multijuga
T10541	Olax tessmannii Engl.
T10542	Sorbus thomsonii
T10543	Sorbus zahlbruckneri
T10544	Ongokea kamerunensis Engl.
T10545	Olax wildemanii Engl.
T10546	Olax staudtii Engl.
T10547	Olax verruculosa Engl.
T10548	Copaifera lucens
T10549	Copaifera langsdorffii var. glabra
T10550	Copaifera martii var. rigida
T10551	Olax zenkeri Engl.
T10552	Copaifera luetzelburgii
T10553	Copaifera malmei
T10554	Digitalis lutea L.
T10555	Digitalis ferruginea subsp. schischkinii
T10556	Digitalis ferruginea
T10557	Digitalis ferruginea subsp. ferruginea
T10558	Hedeoma drummondii
T10559	Blephilia ciliata
T10560	Conradina canescens
T10561	Hoehnea parvula
T10562	Fuchsia loxensis
T10563	Triolena pustulata
T10564	Piper candollei
T10565	Piper candollei Sodiro
T10566	Fuchsia sylvatica
T10567	Achillea salicifolia Besser
T10568	Brachyotum jamesonii
T10569	Satureja bachtiarica
T10570	Calamintha brauneana
T10571	Calamintha chinensis
T10572	Calamintha incana
T10573	Calamintha cryptantha var. mildbraedii
T10574	Calamintha umbrosa
T10575	Calamintha
T10576	Conostegia centronioides
T10577	Miconia gibba
T10578	Erythrocephalum plantaginifolium
T10579	Pleiotaxis
T10580	Clinopodium
T10581	Calamintha betulifolia
T10582	Centaurea koeieana Bornm.
T10583	Dipcadi serotinum (L.) Medik.
T10584	Centaurea guicciardi var. lineariloba Hal. & Dörfl.
T10585	Centaurea lasiopoda M.Pop. & Kult.
T10586	Centaurea marmorea Bornm. & Soska
T10587	Centaurea lycaonica Boiss. & Heldr.
T10588	Centaurea leucomalla Bornm.
T10589	Centaurea laureotica Heldr. ex Halácsy
T10590	Micromeria brownei var. pilosiuscula
T10591	Micromeria domingensis
T10592	Micromeria forbesii
T10593	Micromeria frivaldszkyana
T10594	Micromeria fruticulosa
T10595	Satureja kerneri
T10596	Eriocaulon barbeyanum Ruhland
T10597	Eriocaulon atratum Körn.
T10598	Eriocaulon achiton Körn.
T10599	Micromeria flacca
T10600	Eriocaulon bombayanum Ruhland
T10601	Eriocaulon brownianum Mart.
T10602	Eriocaulon beccarii Suess.
T10603	Strombosia grandiflora
T10604	Melilotus segetalis
T10605	Eriocaulon ceylanicum Körn.
T10606	Afrothismia insignis Cowley
T10607	Eriocaulon cristatum Mart.
T10608	Thismia glaziovii Poulsen
T10609	Eriocaulon hookerianum
T10610	Centaurea mucronifera DC.
T10611	Centaurea ochrocephala Wagenitz
T10612	Centaurea caroli-henrici Gabrieljan & Dittrich
T10613	Centaurea carrissoi Rothm.
T10614	Centaurea nicopolitana Bornm.
T10615	Centaurea nivea (Bornm.) Wagenitz
T10616	Centaurea nivea var. declinata
T10617	Olax schlechteri Engl.
T10618	Olax longiflora Engl.
T10619	Olax macrocalyx Engl.
T10620	Olax pentandra Sleumer
T10621	Olax poggei Engl.
T10622	Prunus monticola K. Koch
T10623	Prunus pseudoarmeniaca
T10624	Prunus sogdiana
T10625	Prunus spinosa subsp. dasyphylla
T10626	Drimys winteri var. winteri
T10627	Drimys winteri J.R. Forst. & G. Forst. var. winteri
T10628	Drimys winteri var. chilensis
T10629	Lilaea scilloides (Poir.) Hauman
T10630	Bryonia subsessilis
T10631	Bryonia multiflora
T10632	Bryonia steveni
T10633	Aethionema saxatile subsp. oreophilum I.A.Andersson & al.
T10634	Melilotus spicatus
T10635	Melilotus indicus (L.) All.
T10636	Hieracium caesium var. saminae Schack & Zahn
T10637	Hieracium diaphanoides var. subhastifrons Schack & Zahn
T10638	Hieracium dollineri var. subcrinitulum Zahn
T10639	Hieracium laevigatum subsp. brigantiorum Schack & Zahn
T10640	Hieracium cymosum var. setulosum Schack & Zahn
T10641	Hieracium calomastix subsp. plumbimontanum Schack & Zahn
T10642	Prunus divaricata Ledeb.
T10643	Drimys winteri
T10644	Drimys winteri var. andina
T10645	Drimys winteranus
T10646	Drimys chilensis DC.
T10647	Prunus cerasifera
T10648	Hieracium zizianum var. subaffine Touton
T10649	Hieracium zizianum var. divergens Touton
T10650	Hieracium umbelliferum subsp. kissingense Touton
T10651	Hieracium umbelliferum var. calvescens Touton
T10652	Linaria genistifolia var. linifolia
T10653	Carex curvata
T10654	Carex praecox subsp. intermedia
T10655	Gnetum schwackeanum
T10656	Triglochin maritima
T10657	Ocotea pentagona
T10658	Ocotea spathulata
T10659	Ocotea portoricensis
T10660	Ocotea pentagona Mez
T10661	Carex repens
T10662	Ocotea pedalifolia
T10663	Centaurea virgata
T10664	Triglochin bulbosa subsp. barrelieri (Loisel.) Rouy
T10665	Triglochin barrieri Loisel.
T10666	Hieracium laevigatum subvar. heterophyllum Schack & Zahn
T10667	Hieracium laevicaule subsp. callipristum Schack & Zahn
T10668	Hieracium laevicaule var. oxypristum Schack & Zahn
T10669	Hieracium levicaule subsp. camerarii Schack & Zahn
T10670	Croton
T10671	Prunus cocomilia
T10672	Prunus brigantina
T10673	Prunus cocomilia var. cocomilia
T10674	Drimys angustifolia Miers
T10675	Carex bifida Roth ex Steud.
T10676	Carex cretica Gradst. & J.Kern
T10677	Carex blakei Nelmes
T10678	Carex serratodens S.Watson
T10679	Metastelma picardae
T10680	Astenophanus utahensia
T10681	Cynanchum inaguense
T10682	Centaurea odyssei Wagenitz
T10683	Cineraria atriplicifolia DC.
T10684	Cineraria vallis-pacis Dinter ex Merxm.
T10685	Cineraria saxifraga DC.
T10686	Bryonia cretica L.
T10687	Hieracium schultesii subsp. silvicoliforme A.Schlick. & Touton
T10688	Hieracium schultesii subsp. suberythrogrammum Touton
T10689	Cousinia arbelensis C.Winkl. & Bornm.
T10690	Hieracium schultesii var. levivittatum Touton
T10691	Hieracium schultesii var. devivum Touton
T10692	Hieracium schultesii var. abundevittatum Touton
T10693	Hieracium schultesii var. pseudoligotrichum Touton
T10694	Hieracium schultesii subsp. pilosellipes Touton
T10695	Hieracium schultesii var. parciglandulum Zahn ex. Touton
T10696	Cousinia insignis Rech.f.
T10697	Cousinia hypopolia Bornm. & Sint.
T10698	Hieracium laevigatum var. sparsipilum Zahn
T10699	Cousinia hermonis Boiss.
T10700	Cousinia alberti subsp. horridula Bornm.
T10701	Cousinia hergtiana Bornm.
T10702	Cousinia hypochionaea Bornm.
T10703	Hieracium laurinum subsp. stenoprionatum Zahn
T10704	Hieracium laevigatum subsp. stenocladotropum Zahn
T10705	Hieracium laevigatum subsp. squalidinaevum Schack & Zahn
